127.0.0.1 - - [17/May/2018:17:58:04 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:06 +0200] "GET /seminarski-rad-d/ HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:07 +0200] "GET /seminarski-rad-d/js/angular-datatables.min.js HTTP/1.1" 200 14286
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:07 +0200] "GET /seminarski-rad-d/css/main.css HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:07 +0200] "GET /seminarski-rad-d/js/app.js HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:07 +0200] "GET /seminarski-rad-d/js/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:07 +0200] "GET /seminarski-rad-d/js/services.js HTTP/1.1" 200 10983
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:07 +0200] "GET /seminarski-rad-d/js/controllers.js HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:07 +0200] "GET /seminarski-rad-d/js/ui-bootstrap-tpls-1.3.2.min.js HTTP/1.1" 200 120850
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:07 +0200] "GET /seminarski-rad-d/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:07 +0200] "GET /seminarski-rad-d/js/modal-controller.js HTTP/1.1" 200 11100
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:07 +0200] "GET /seminarski-rad-d/js/directives.js HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:08 +0200] "GET /seminarski-rad-d/images/forest.jpg HTTP/1.1" 200 909967
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:08 +0200] "GET /seminarski-rad-d/includes/header.html HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:08 +0200] "GET /seminarski-rad-d/login HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:09 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:09 +0200] "GET /seminarski-rad-d/images/ps.jpg HTTP/1.1" 200 19636
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:09 +0200] "GET /seminarski-rad-d/images/spinner-white.gif HTTP/1.1" 200 11647
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:09 +0200] "GET /seminarski-rad-d/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:16 +0200] "POST /seminarski-rad-d/login?password=admin&username=admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:16 +0200] "GET /seminarski-rad-d/ HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:17 +0200] "GET /seminarski-rad-d/user-login HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:17 +0200] "GET /seminarski-rad-d/home HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:42 +0200] "GET /seminarski-rad-d/users HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:42 +0200] "GET /seminarski-rad-d/user HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:42 +0200] "GET /seminarski-rad-d/roles HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:46 +0200] "GET /seminarski-rad-d/users/modals/user-modal.html HTTP/1.1" 200 5630
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:46 +0200] "GET /seminarski-rad-d/includes/messages.html HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:46 +0200] "GET /seminarski-rad-d/sales-unit HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [17/May/2018:17:58:58 +0200] "GET /seminarski-rad-d/sales-unit HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [17/May/2018:17:59:19 +0200] "GET /seminarski-rad-d/sales-unit HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [17/May/2018:17:59:29 +0200] "GET /seminarski-rad-d/sales-unit HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [17/May/2018:17:59:34 +0200] "GET /seminarski-rad-d/sales-unit HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [17/May/2018:17:59:59 +0200] "GET /seminarski-rad-d/sales-units/sales-units.html HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [17/May/2018:17:59:59 +0200] "GET /seminarski-rad-d/sales-unit HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:01 +0200] "GET /seminarski-rad-d/sales-units/modals/sales-unit-modal.html HTTP/1.1" 200 4037
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:04 +0200] "GET /seminarski-rad-d/stocks/stocks.html HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:04 +0200] "GET /seminarski-rad-d/stock HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:08 +0200] "GET /seminarski-rad-d/stocks/modals/stock-modal.html HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:08 +0200] "GET /seminarski-rad-d/sales-unit HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:08 +0200] "GET /seminarski-rad-d/products/products.html HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:08 +0200] "GET /seminarski-rad-d/product HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:18 +0200] "GET /seminarski-rad-d/orders/orders.html HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:19 +0200] "GET /seminarski-rad-d/order HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:22 +0200] "GET /seminarski-rad-d/orders/modals/order-create.html HTTP/1.1" 200 4423
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:23 +0200] "GET /seminarski-rad-d/stock HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:44 +0200] "GET /seminarski-rad-d/customers/customers.html HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [17/May/2018:18:00:44 +0200] "GET /seminarski-rad-d/customer HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [17/May/2018:18:01:01 +0200] "GET /seminarski-rad-d/ HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [17/May/2018:18:01:01 +0200] "GET /seminarski-rad-d/login HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [17/May/2018:18:01:02 +0200] "GET /seminarski-rad-d/ HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [17/May/2018:18:01:02 +0200] "GET /seminarski-rad-d/login HTTP/1.1" 200 961
